# Columns: x  m_tilde  y(=rho/rho_*)  compactness(=m/x)  Phi
# y_c_crit = 9.999992e+03
# Status: x_max
4.446422e-02  1.974224e-02  6.339106e+01  4.440028e-01  2.530507e+00
4.471144e-02  1.983518e-02  6.267582e+01  4.436264e-01  2.536181e+00
4.496021e-02  1.992867e-02  6.196915e+01  4.432514e-01  2.541850e+00
4.521052e-02  2.002273e-02  6.127094e+01  4.428777e-01  2.547516e+00
4.546240e-02  2.011735e-02  6.058109e+01  4.425053e-01  2.553177e+00
4.571585e-02  2.021255e-02  5.989947e+01  4.421344e-01  2.558835e+00
4.597088e-02  2.030832e-02  5.922599e+01  4.417649e-01  2.564489e+00
4.622751e-02  2.040467e-02  5.856054e+01  4.413968e-01  2.570138e+00
4.648574e-02  2.050161e-02  5.790301e+01  4.410302e-01  2.575784e+00
4.674558e-02  2.059914e-02  5.725330e+01  4.406650e-01  2.581426e+00
4.700704e-02  2.069727e-02  5.661131e+01  4.403015e-01  2.587064e+00
4.727014e-02  2.079600e-02  5.597694e+01  4.399394e-01  2.592699e+00
4.753488e-02  2.089533e-02  5.535009e+01  4.395790e-01  2.598330e+00
4.780128e-02  2.099528e-02  5.473067e+01  4.392201e-01  2.603957e+00
4.806934e-02  2.109585e-02  5.411857e+01  4.388629e-01  2.609580e+00
